H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
282.111,246.676,526.061,827.252,716.861,113.117,217.097,50.488,530.119,287.779,3.006,2.735,3.215,202,4,Alho
288.925,231.685,541.053,824.526,715.498,121.294,217.097,50.488,535.168,287.779,3.003,2.735,3.215,202,1,Alho
297.102,234.411,550.593,828.614,685.515,124.02,217.097,50.488,535.168,287.779,3.006,2.738,3.215,202,3,Alho
288.925,235.774,535.601,827.252,722.312,115.842,222.145,50.488,535.168,287.779,3.003,2.735,3.215,201,3,Alho
302.553,237.136,542.415,838.154,710.046,114.48,222.145,50.488,535.168,287.779,3.006,2.738,3.215,201,3,Alho
288.925,314.819,527.424,838.154,725.038,121.294,222.145,50.488,535.168,287.779,3.006,2.738,3.215,201,3,Alho
294.376,243.951,521.973,828.614,723.675,117.205,222.145,50.488,530.119,287.779,3.003,2.735,3.215,201,2,Alho
303.916,239.862,505.618,836.792,693.692,118.568,222.145,50.488,530.119,287.779,3.003,2.735,3.215,200,2,Alho
298.465,245.313,516.521,827.252,726.401,117.205,227.194,50.488,535.168,287.779,3.006,2.735,3.215,200,6,Alho
293.013,242.588,509.707,836.792,700.506,117.205,232.243,50.488,535.168,287.779,3.003,2.735,3.215,200,6,Alho
290.288,242.588,517.884,828.614,719.586,118.568,232.243,50.488,535.168,287.779,3.0,2.732,3.215,200,1,Alho
290.288,243.951,542.415,827.252,718.223,119.931,232.243,50.488,535.168,287.779,3.0,2.729,3.215,200,1,Alho
301.19,246.676,513.795,838.154,710.046,114.48,232.243,50.488,535.168,287.779,2.997,2.723,3.212,201,1,Alho
288.925,234.411,536.964,828.614,686.878,124.02,237.292,50.488,535.168,287.779,3.0,2.72,3.212,201,1,Alho
306.642,245.313,521.973,839.517,720.949,117.205,237.292,50.488,535.168,282.73,2.994,2.714,3.212,201,1,Alho
294.376,248.039,535.601,838.154,686.878,124.02,237.292,50.488,535.168,287.779,2.997,2.711,3.212,201,1,Alho
302.553,234.411,516.521,831.34,681.426,118.568,242.34,50.488,535.168,287.779,2.991,2.705,3.212,202,4,Alho
298.465,239.862,539.69,840.88,704.595,113.117,242.34,50.488,535.168,287.779,2.994,2.699,3.212,203,7,Alho
