 Time, Date, temp, Hum,Df_NH3, volt_NH3,MQ_136, Vmq136, mq136_Ratio,MQ_135,Vmq135, mq135_Ratio,MQ_2,Vmq2, mq2_Ratio,MQ_4,Vmq4, mq4_Ratio,MQ_8, Vmq8, mq8_Ratio,Sampe/Class
6:05:38 PM,27-05-23,27.3,29,0.78,0.54,0.42,2.1,3.54,4.08,0.83,3.68,3.54,1,9.88,16.57,2.29,4.38,53.28,1.96,68.58,Coffee 1
6:05:38 PM,27-05-23,27.3,29,0.78,0.54,0.39,2.08,3.62,4.23,0.87,3.63,3.47,0.97,9.97,16.66,2.29,4.37,52.98,1.96,69.14,Coffee 1
6:05:39 PM,27-05-23,27.3,29,0.78,0.54,0.38,2.11,3.64,4.37,0.83,3.58,3.32,0.96,10.16,16.48,2.27,4.39,52.69,1.98,69.71,Coffee 1
6:05:39 PM,27-05-23,27.3,29,0.78,0.54,0.38,2.07,3.65,4.53,0.86,3.53,3.26,0.96,10.26,15.51,2.26,4.48,52.61,1.97,69.85,Coffee 1
6:05:40 PM,27-05-23,27.3,29,0.78,0.54,0.42,2.12,3.55,4.53,0.87,3.53,3.42,0.96,10.03,16.21,2.29,4.41,52.54,1.94,70,Coffee 1
6:05:40 PM,27-05-23,27.3,29,0.78,0.54,0.38,2.08,3.64,4.41,0.84,3.56,3.66,0.98,9.73,16.94,2.25,4.34,52.69,1.96,69.71,Coffee 1
6:05:41 PM,27-05-23,27.3,29,0.78,0.54,0.39,2.08,3.62,4.6,0.86,3.5,3.39,0.96,10.07,15.95,2.29,4.44,52.54,1.95,70,Coffee 1
6:05:41 PM,27-05-23,27.3,29,0.78,0.54,0.41,2.07,3.57,4.3,0.83,3.6,3.49,0.99,9.94,17.03,2.29,4.33,53.13,1.94,68.86,Coffee 1
6:05:42 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.11,3.58,4.41,0.87,3.56,3.39,0.95,10.07,15.77,2.29,4.45,52.61,1.96,69.85,Coffee 1
6:05:42 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.08,3.59,4.64,0.88,3.49,3.51,1,9.91,16.39,2.29,4.39,52.09,1.97,70.87,Coffee 1
6:05:43 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.1,3.59,4.23,0.87,3.63,3.54,0.96,9.88,16.39,2.27,4.39,52.54,1.94,70,Coffee 1
6:05:44 PM,27-05-23,27.3,29,0.78,0.54,0.42,2.12,3.55,4.41,0.85,3.56,3.59,0.95,9.82,16.39,2.27,4.39,52.46,1.94,70.14,Coffee 1
6:05:44 PM,27-05-23,27.3,29,0.78,0.54,0.41,2.13,3.57,4.34,0.88,3.59,3.44,1,10,18.8,2.28,4.18,53.51,1.94,68.16,Coffee 1
6:05:45 PM,27-05-23,27.3,29,0.78,0.54,0.35,2.05,3.73,3.81,0.85,3.78,3.49,0.99,9.94,17.31,2.27,4.31,51.43,1.94,72.19,Coffee 1
6:05:45 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.09,3.58,3.35,0.9,3.98,3.92,1.05,9.44,19.96,2.33,4.09,51.58,1.96,71.9,Coffee 1
6:05:46 PM,27-05-23,27.3,29,0.78,0.54,0.41,2.13,3.57,4.92,0.9,3.41,3.69,0.97,9.7,21.55,2.37,3.98,53.96,1.98,67.33,Coffee 1
6:05:46 PM,27-05-23,27.3,29,0.78,0.54,0.38,2.07,3.64,3.74,0.84,3.81,3.37,0.96,10.1,18.69,2.4,4.19,52.69,1.97,69.71,Coffee 1
6:05:47 PM,27-05-23,27.3,29,0.78,0.54,0.4,2.06,3.6,3.84,0.83,3.77,3.23,0.92,10.29,17.41,2.3,4.3,52.91,1.95,69.28,Coffee 1
6:05:47 PM,27-05-23,27.3,29,0.78,0.54,0.39,2.06,3.61,3.48,0.8,3.92,3.14,0.91,10.42,16.3,2.3,4.4,52.98,1.97,69.14,Coffee 1
6:05:48 PM,27-05-23,27.3,29,0.78,0.54,0.38,2.08,3.63,3.32,0.81,4,2.9,0.97,10.8,15.68,2.26,4.46,53.28,1.96,68.58,Coffee 1
6:05:48 PM,27-05-23,27.3,29,0.78,0.54,0.31,2.01,3.84,3.35,0.77,3.98,3.12,0.91,10.45,16.57,2.25,4.38,52.76,1.98,69.57,Coffee 1
6:05:49 PM,27-05-23,27.3,29,0.78,0.54,0.35,2.04,3.73,3.17,0.79,4.07,3.21,0.95,10.32,18.19,2.26,4.23,53.28,1.97,68.58,Coffee 1
6:05:49 PM,27-05-23,27.3,29,0.78,0.54,0.36,2.07,3.71,3.32,0.75,4,3.14,0.94,10.42,17.31,2.33,4.31,53.43,1.97,68.3,Coffee 1
6:05:50 PM,27-05-23,27.3,29,0.78,0.54,0.33,2.05,3.78,3.11,0.76,4.1,3.03,0.96,10.59,16.94,2.31,4.34,53.21,1.99,68.72,Coffee 1
6:05:50 PM,27-05-23,27.3,29,0.78,0.54,0.35,2.02,3.72,3.17,0.77,4.07,2.95,0.91,10.73,17.79,2.33,4.27,53.88,1.97,67.47,Coffee 1
6:05:51 PM,27-05-23,27.3,29,0.78,0.54,0.34,2.04,3.76,3.42,0.77,3.95,3.05,0.92,10.56,17.22,2.32,4.32,53.88,2,67.47,Coffee 1
6:05:51 PM,27-05-23,27.3,29,0.78,0.54,0.33,1.99,3.79,3.38,0.78,3.97,3.12,0.94,10.45,18.49,2.3,4.21,52.83,1.96,69.43,Coffee 1
6:05:52 PM,27-05-23,27.3,29,0.78,0.54,0.27,1.94,4,3.26,0.78,4.03,3.03,0.93,10.59,18.59,2.32,4.2,53.51,2.01,68.16,Coffee 1
6:05:53 PM,27-05-23,27.3,29,0.78,0.54,0.28,2.01,3.98,3.42,0.78,3.95,2.99,0.9,10.66,17.99,2.31,4.25,53.73,2.01,67.74,Coffee 1
6:05:53 PM,27-05-23,27.3,29,0.78,0.54,0.29,2,3.92,3.35,0.77,3.98,2.93,0.94,10.76,18.09,2.3,4.24,52.98,1.98,69.14,Coffee 1
6:05:54 PM,27-05-23,27.3,29,0.78,0.54,0.29,1.99,3.95,3.14,0.77,4.09,3.14,0.94,10.42,18.8,2.32,4.18,54.41,1.99,66.52,Coffee 1
6:05:54 PM,27-05-23,27.3,29,0.78,0.54,0.31,1.99,3.87,3.35,0.78,3.98,3.35,0.94,10.13,18.69,2.31,4.19,54.49,2,66.38,Coffee 1
6:05:55 PM,27-05-23,27.3,29,0.78,0.54,0.3,2,3.91,3.35,0.79,3.98,2.97,0.97,10.69,19.21,2.35,4.15,54.19,2.01,66.92,Coffee 1
6:05:55 PM,27-05-23,27.3,29,0.78,0.54,0.28,1.97,3.98,3.32,0.78,4,2.97,0.96,10.69,18.49,2.34,4.21,55.02,2.01,65.45,Coffee 1
6:05:56 PM,27-05-23,27.3,29,0.78,0.54,0.27,1.96,4.01,3.14,0.75,4.09,3.12,0.94,10.45,18.69,2.31,4.19,54.64,2.02,66.11,Coffee 1
6:05:56 PM,27-05-23,27.3,29,0.78,0.54,0.24,1.92,4.13,3.23,0.77,4.04,2.97,0.9,10.69,18.29,2.37,4.22,54.79,2.03,65.84,Coffee 1
6:05:57 PM,27-05-23,27.3,29,0.78,0.54,0.28,1.95,3.96,3.14,0.76,4.09,3.28,0.9,10.22,19.21,2.34,4.15,54.49,2.04,66.38,Coffee 1
6:05:57 PM,27-05-23,27.3,29,0.78,0.54,0.26,1.94,4.07,3.2,0.75,4.06,3.1,0.9,10.49,19.85,2.32,4.1,54.72,2.04,65.98,Coffee 1
6:05:58 PM,27-05-23,27.3,29,0.78,0.54,0.24,1.95,4.13,3.38,0.77,3.97,3.21,0.96,10.32,19.21,2.37,4.15,55.1,2.06,65.31,Coffee 1
6:05:58 PM,27-05-23,27.3,29,0.78,0.54,0.27,1.96,4.01,3.2,0.76,4.06,2.95,0.92,10.73,18.9,2.37,4.17,55.33,2.03,64.92,Coffee 1
6:05:59 PM,27-05-23,27.3,30,0.78,0.54,0.26,1.96,4.06,3.32,0.78,4,3.23,0.97,10.29,20.29,2.38,4.07,56.18,2.05,63.49,Coffee 1
6:05:59 PM,27-05-23,27.3,30,0.78,0.54,0.28,1.96,3.99,3.17,0.79,4.07,3.03,0.93,10.59,20.51,2.33,4.05,55.95,2.07,63.88,Coffee 1
6:06:00 PM,27-05-23,27.3,30,0.78,0.54,0.27,1.95,4.02,3.29,0.79,4.01,2.99,0.95,10.66,19.85,2.36,4.1,56.57,2.05,62.86,Coffee 1
6:06:00 PM,27-05-23,27.3,30,0.78,0.54,0.25,1.94,4.12,3.45,0.77,3.94,3.23,0.97,10.29,19.32,2.37,4.14,56.26,2.09,63.37,Coffee 1
6:06:01 PM,27-05-23,27.3,30,0.78,0.54,0.3,1.96,3.9,3.45,0.79,3.94,3.54,0.99,9.88,19.74,2.34,4.11,55.87,2.07,64.01,Coffee 1
6:06:01 PM,27-05-23,27.3,30,0.78,0.54,0.25,1.95,4.09,3.35,0.78,3.98,3.23,0.92,10.29,20.07,2.33,4.09,55.87,2.05,64.01,Coffee 1
6:06:02 PM,27-05-23,27.3,30,0.78,0.54,0.27,1.96,4,3.26,0.78,4.03,3.1,0.97,10.49,18.9,2.38,4.17,56.03,2.07,63.75,Coffee 1
6:06:03 PM,27-05-23,27.3,30,0.78,0.54,0.24,1.93,4.16,3,0.73,4.17,3.1,0.9,10.49,19.53,2.34,4.13,56.03,2.04,63.75,Coffee 1
6:06:03 PM,27-05-23,27.3,30,0.78,0.54,0.25,1.92,4.09,2.97,0.78,4.18,2.68,0.89,11.2,18.9,2.35,4.17,55.18,2.03,65.18,Coffee 1
6:06:04 PM,27-05-23,27.3,30,0.78,0.54,0.24,1.93,4.15,2.75,0.73,4.31,2.97,0.91,10.69,20.18,2.32,4.08,54.72,2.07,65.98,Coffee 1
6:06:04 PM,27-05-23,27.3,30,0.78,0.54,0.24,1.93,4.16,2.91,0.72,4.21,2.84,0.91,10.9,18.19,2.35,4.23,55.49,2.07,64.66,Coffee 1
6:06:05 PM,27-05-23,27.3,30,0.78,0.54,0.23,1.88,4.22,3.06,0.73,4.13,2.99,0.91,10.66,20.29,2.33,4.07,55.33,2.07,64.92,Coffee 1
6:06:05 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.9,4.24,3,0.76,4.17,2.76,0.87,11.05,18.69,2.34,4.19,55.72,2.07,64.27,Coffee 1
6:06:06 PM,27-05-23,27.3,30,0.78,0.54,0.23,1.89,4.21,2.83,0.75,4.26,2.8,0.93,10.98,19.42,2.32,4.13,55.25,2.03,65.05,Coffee 1
6:06:06 PM,27-05-23,27.3,30,0.78,0.54,0.21,1.88,4.32,3.08,0.75,4.12,2.68,0.88,11.2,18.69,2.35,4.19,55.79,2.03,64.14,Coffee 1
6:06:07 PM,27-05-23,27.3,30,0.78,0.54,0.24,1.9,4.15,3.11,0.76,4.1,2.78,0.93,11.01,19.53,2.34,4.13,55.25,2.07,65.05,Coffee 1
6:06:07 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.94,4.28,2.91,0.77,4.21,2.93,0.91,10.76,19.21,2.37,4.15,55.72,2.05,64.27,Coffee 1
6:06:08 PM,27-05-23,27.3,30,0.78,0.54,0.23,1.92,4.19,2.83,0.73,4.26,2.9,0.93,10.8,20.18,2.35,4.08,55.33,2.05,64.92,Coffee 1
6:06:08 PM,27-05-23,27.3,30,0.78,0.54,0.24,1.94,4.17,2.89,0.75,4.23,3.01,0.88,10.62,19.53,2.38,4.13,55.49,2.03,64.66,Coffee 1
6:06:09 PM,27-05-23,27.3,30,0.78,0.54,0.23,1.92,4.2,3.11,0.73,4.1,3.05,0.91,10.56,20.18,2.37,4.08,56.1,2.07,63.62,Coffee 1
6:06:09 PM,27-05-23,27.3,30,0.78,0.55,0.22,1.91,4.28,2.7,0.76,4.35,2.9,0.89,10.8,20.51,2.34,4.05,55.64,2.03,64.4,Coffee 1
6:06:10 PM,27-05-23,27.3,30,0.78,0.54,0.23,1.91,4.19,3.2,0.75,4.06,2.95,0.93,10.73,20.63,2.38,4.05,55.56,2.08,64.53,Coffee 1
6:06:10 PM,27-05-23,27.3,30,0.78,0.54,0.2,1.9,4.34,2.67,0.73,4.37,2.72,0.94,11.12,20.07,2.35,4.09,55.95,2.07,63.88,Coffee 1
6:06:11 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.86,4.23,2.75,0.72,4.31,2.93,0.94,10.76,19.21,2.37,4.15,55.87,2.07,64.01,Coffee 1
6:06:12 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.91,4.27,2.75,0.76,4.31,2.97,0.93,10.69,19.21,2.38,4.15,55.41,2.08,64.79,Coffee 1
6:06:12 PM,27-05-23,27.3,30,0.78,0.54,0.21,1.86,4.29,2.89,0.75,4.23,2.88,0.91,10.83,20.18,2.34,4.08,54.95,2.07,65.58,Coffee 1
6:06:13 PM,27-05-23,27.3,30,0.78,0.54,0.21,1.92,4.29,2.78,0.73,4.3,2.88,0.94,10.83,20.29,2.34,4.07,56.34,2.05,63.24,Coffee 1
6:06:13 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.89,4.23,2.86,0.76,4.25,3.01,0.93,10.62,19.53,2.36,4.13,56.1,2.07,63.62,Coffee 1
6:06:14 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.88,4.27,2.65,0.72,4.38,2.86,0.91,10.87,20.29,2.37,4.07,55.64,2.04,64.4,Coffee 1
6:06:14 PM,27-05-23,27.3,30,0.78,0.54,0.22,1.9,4.28,2.7,0.74,4.35,2.88,0.92,10.83,20.63,2.38,4.05,56.57,2.07,62.86,Coffee 1
6:06:15 PM,27-05-23,27.3,30,0.78,0.54,0.21,1.88,4.29,2.49,0.75,4.49,2.95,0.89,10.73,19.96,2.37,4.09,57.2,2.09,61.86,Coffee 1
6:06:15 PM,27-05-23,27.3,30,0.78,0.54,0.24,1.94,4.17,3.08,0.72,4.12,2.86,0.93,10.87,20.97,2.34,4.02,55.25,2.08,65.05,Coffee 1
6:06:16 PM,27-05-23,27.3,30,0.78,0.54,0.34,2.04,3.77,3.84,0.83,3.77,3.3,0.96,10.19,20.97,2.38,4.02,55.64,2.08,64.4,Coffee 1
