H2S(WE),H2S(AE),SO2(WE),SO2(AE),CO(WE),CO(AE),VOC(WE),VOC(AE),NH3(WE),NH3(AE),MICS6814(CO),MICS6814(NH3),MICS6814(NO2),SEMEATECH(NH3),SEMEATECH(CH3SH),Class
361.156,329.81,350.253,681.426,851.783,25.894,464.486,45.439,535.168,287.779,2910.718,2815.187,3215.224,531,0,Compostagem
355.705,325.722,357.067,681.426,810.897,28.62,459.437,45.439,535.168,287.779,2907.732,2815.187,3218.209,530,0,Compostagem
363.882,320.27,331.173,678.701,819.075,29.983,464.486,45.439,535.168,287.779,2907.732,2815.187,3215.224,529,0,Compostagem
366.607,337.987,337.987,684.152,832.703,109.028,464.486,45.439,535.168,287.779,2907.732,2815.187,3218.209,528,0,Compostagem
374.785,329.81,340.713,674.612,816.349,27.257,464.486,45.439,535.168,287.779,2907.732,2815.187,3215.224,528,0,Compostagem
367.97,325.722,331.173,673.249,814.986,20.443,464.486,45.439,535.168,287.779,2907.732,2815.187,3218.209,527,0,Compostagem
370.696,324.359,331.173,677.338,813.623,25.894,464.486,45.439,535.168,287.779,2907.732,2815.187,3218.209,526,0,Compostagem
370.696,339.35,366.607,677.338,846.332,31.346,464.486,45.439,530.119,287.779,2907.732,2812.201,3218.209,525,0,Compostagem
376.147,339.35,331.173,666.435,838.154,28.62,459.437,45.439,535.168,287.779,2907.732,2812.201,3215.224,524,0,Compostagem
378.873,339.35,373.422,680.064,840.88,32.708,464.486,45.439,535.168,287.779,2907.732,2815.187,3218.209,523,0,Compostagem
381.599,342.076,329.81,682.789,813.623,21.806,464.486,45.439,535.168,287.779,2907.732,2812.201,3215.224,522,0,Compostagem
367.97,340.713,348.89,673.249,844.969,25.894,464.486,45.439,535.168,287.779,2907.732,2812.201,3218.209,522,0,Compostagem
367.97,336.625,359.793,667.798,846.332,27.257,464.486,45.439,545.266,287.779,2910.718,2812.201,3215.224,521,0,Compostagem
374.785,335.262,336.625,678.701,817.712,19.08,464.486,45.439,530.119,287.779,2907.732,2812.201,3215.224,520,0,Compostagem
366.607,335.262,346.165,682.789,834.066,23.168,464.486,45.439,530.119,287.779,2907.732,2812.201,3215.224,519,0,Compostagem
374.785,327.085,367.97,675.975,840.88,25.894,469.534,45.439,540.217,287.779,2907.732,2812.201,3218.209,518,0,Compostagem
378.873,331.173,354.342,681.426,810.897,34.071,464.486,45.439,525.071,287.779,2907.732,2812.201,3215.224,517,0,Compostagem
378.873,336.625,332.536,680.064,825.889,34.071,464.486,45.439,530.119,287.779,2907.732,2812.201,3218.209,516,0,Compostagem
378.873,329.81,335.262,682.789,824.526,28.62,464.486,45.439,535.168,287.779,2907.732,2809.216,3215.224,516,0,Compostagem
366.607,333.899,373.422,680.064,819.075,27.257,464.486,45.439,535.168,287.779,2907.732,2809.216,3218.209,515,0,Compostagem
380.236,327.085,342.076,680.064,809.535,34.071,464.486,45.439,530.119,287.779,2907.732,2809.216,3218.209,514,0,Compostagem
367.97,327.085,350.253,671.886,805.446,27.257,469.534,45.439,525.071,287.779,2904.747,2809.216,3215.224,514,0,Compostagem
365.245,336.625,352.979,675.975,846.332,24.531,464.486,45.439,525.071,287.779,2907.732,2809.216,3215.224,513,0,Compostagem
374.785,335.262,336.625,677.338,831.34,28.62,469.534,45.439,535.168,287.779,2907.732,2809.216,3218.209,512,0,Compostagem
369.333,310.73,329.81,671.886,810.897,27.257,469.534,45.439,530.119,287.779,2907.732,2809.216,3215.224,512,0,Compostagem
373.422,336.625,331.173,667.798,824.526,34.071,464.486,45.439,530.119,287.779,2907.732,2809.216,3218.209,511,0,Compostagem
374.785,329.81,367.97,677.338,840.88,24.531,464.486,45.439,525.071,287.779,2907.732,2809.216,3215.224,510,0,Compostagem
374.785,329.81,340.713,678.701,806.809,27.257,464.486,45.439,530.119,287.779,2907.732,2809.216,3215.224,509,0,Compostagem
367.97,320.27,354.342,678.701,806.809,32.708,464.486,45.439,520.022,287.779,2907.732,2806.23,3218.209,509,0,Compostagem
372.059,343.439,339.35,673.249,838.154,25.894,464.486,50.488,530.119,287.779,2907.732,2806.23,3218.209,508,0,Compostagem
380.236,332.536,355.705,671.886,825.889,29.983,464.486,45.439,530.119,287.779,2907.732,2806.23,3215.224,507,0,Compostagem
377.51,328.448,340.713,689.604,840.88,34.071,459.437,45.439,525.071,287.779,2907.732,2806.23,3215.224,506,0,Compostagem
372.059,325.722,355.705,674.612,812.26,31.346,464.486,45.439,525.071,287.779,2907.732,2809.216,3215.224,506,0,Compostagem
384.324,328.448,335.262,673.249,838.154,28.62,464.486,45.439,540.217,287.779,2907.732,2809.216,3218.209,505,0,Compostagem
367.97,339.35,363.882,674.612,806.809,119.931,459.437,45.439,525.071,287.779,2907.732,2806.23,3215.224,505,0,Compostagem
377.51,336.625,354.342,681.426,835.429,31.346,464.486,45.439,509.924,287.779,2904.747,2806.23,3218.209,504,0,Compostagem
367.97,335.262,331.173,675.975,817.712,36.797,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,504,0,Compostagem
362.519,328.448,342.076,674.612,832.703,25.894,464.486,45.439,520.022,287.779,2904.747,2806.23,3215.224,503,0,Compostagem
366.607,318.908,354.342,678.701,804.083,35.434,464.486,45.439,530.119,287.779,2904.747,2803.245,3215.224,502,0,Compostagem
366.607,331.173,342.076,671.886,813.623,28.62,464.486,45.439,525.071,287.779,2904.747,2806.23,3215.224,501,0,Compostagem
380.236,328.448,366.607,677.338,838.154,24.531,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,501,0,Compostagem
366.607,332.536,365.245,669.161,832.703,35.434,464.486,45.439,514.973,287.779,2904.747,2803.245,3215.224,500,0,Compostagem
367.97,322.996,365.245,670.524,821.8,34.071,469.534,50.488,530.119,287.779,2907.732,2806.23,3215.224,499,0,Compostagem
376.147,328.448,348.89,670.524,849.057,29.983,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,498,0,Compostagem
370.696,329.81,343.439,680.064,801.357,35.434,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,497,0,Compostagem
373.422,333.899,340.713,680.064,832.703,24.531,464.486,45.439,525.071,287.779,2904.747,2803.245,3218.209,497,0,Compostagem
367.97,335.262,357.067,681.426,843.606,21.806,464.486,45.439,525.071,287.779,2907.732,2803.245,3215.224,496,0,Compostagem
377.51,332.536,332.536,680.064,821.8,29.983,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,496,0,Compostagem
376.147,322.996,369.333,677.338,821.8,25.894,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,495,0,Compostagem
367.97,322.996,362.519,670.524,816.349,36.797,464.486,45.439,530.119,287.779,2907.732,2803.245,3215.224,495,0,Compostagem
367.97,332.536,336.625,678.701,825.889,24.531,464.486,45.439,530.119,287.779,2904.747,2803.245,3215.224,494,0,Compostagem
369.333,322.996,344.802,671.886,804.083,36.797,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,493,0,Compostagem
376.147,325.722,402.042,678.701,838.154,25.894,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,493,0,Compostagem
376.147,327.085,352.979,682.789,806.809,35.434,459.437,45.439,525.071,287.779,2907.732,2803.245,3215.224,492,0,Compostagem
376.147,331.173,367.97,682.789,829.977,34.071,459.437,45.439,525.071,287.779,2904.747,2800.26,3215.224,491,0,Compostagem
363.882,333.899,350.253,690.966,843.606,28.62,464.486,45.439,535.168,287.779,2904.747,2803.245,3215.224,491,0,Compostagem
378.873,333.899,329.81,671.886,816.349,36.797,464.486,45.439,525.071,287.779,2904.747,2803.245,3215.224,491,0,Compostagem
